label,isCode,wordsLen,ZeroLen,OneLen,WordsWithSameSizeLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart,isLongueurFixe,one,two,three,four,five,six,seven,eight,nine,ten,coloneLen,coltwoLen,colthreeLen,colfourLen,colfiveLen,colsixLen,colsevenLen,coleightLen,colnineLen,coltenLen
"['1011010', '1100', '0011']",1,3,7,8,2,15,1.7727272727272727,11,8,0,90,12,3,0,0,0,0,0,0,0,7,4,4,0,0,0,0,0,0,0
"['11000', '110', '11110']",1,3,5,8,2,13,2.1,6,12,0,24,6,30,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0
"['101101', '1110011', '1111110', '0110', '011110', '0101010', '101011']",1,7,15,28,6,43,13.126240426240427,60,60,0,45,115,126,6,30,42,43,0,0,0,6,7,7,4,6,7,6,0,0,0
"['0111111', '011', '000101', '0', '001']",1,5,9,11,2,20,4.997252747252747,35,25,0,63,3,5,0,1,0,0,0,0,0,7,3,6,1,3,0,0,0,0,0
"['011100', '101', '000', '0100', '0011101']",1,5,13,10,2,23,5.67976467976468,28,33,0,28,5,0,4,29,0,0,0,0,0,6,3,3,4,7,0,0,0,0,0
"['100', '100110', '0110', '1001000', '0111101', '0110111', '10000']",1,7,20,19,3,39,12.121717171717172,71,69,0,4,38,6,72,61,55,16,0,0,0,3,6,4,7,7,7,5,0,0,0
"['00', '001110', '01']",1,3,6,4,2,10,1.5,9,10,0,0,14,1,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
"['100', '10111', '111010', '01', '01110']",1,5,8,13,2,21,5.782251082251082,28,23,0,4,23,58,1,14,0,0,0,0,0,3,5,6,2,5,0,0,0,0,0
"['0001', '0011011', '0010', '0110', '0000101', '01']",1,6,17,11,5,28,9.603174603174603,44,45,0,1,27,2,6,5,1,0,0,0,0,4,7,4,4,7,2,0,0,0,0
"['111', '0100100', '0', '10101', '1011']",1,5,9,11,0,20,4.805772005772005,32,20,0,7,36,0,21,11,0,0,0,0,0,3,7,1,5,4,0,0,0,0,0
"['110', '0111', '1000', '001', '0111010', '10011']",1,6,12,14,4,26,8.225108225108224,43,38,0,6,7,8,1,58,19,0,0,0,0,3,4,4,3,7,5,0,0,0,0
"['00', '001', '0100']",1,3,7,2,0,9,2.038095238095238,5,13,0,0,1,4,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0
"['1100', '10', '1010100', '1101']",1,4,8,9,2,17,3.80050505050505,16,17,0,12,2,84,13,0,0,0,0,0,0,4,2,7,4,0,0,0,0,0,0
"['1', '110110', '0101100', '0101']",1,4,8,10,0,18,3.0322177822177823,22,13,0,1,54,44,5,0,0,0,0,0,0,1,6,7,4,0,0,0,0,0,0
"['101000', '0000011', '001010', '0101001']",1,4,17,9,4,26,3.9963369963369964,17,16,0,40,3,10,41,0,0,0,0,0,0,6,7,6,7,0,0,0,0,0,0
"['101', '0010111', '10101']",1,3,6,9,0,15,2.0166666666666666,9,12,0,5,23,21,0,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0
"['0101', '111011', '001111', '00010']",1,4,9,12,2,21,3.4424242424242424,18,14,0,5,59,15,2,0,0,0,0,0,0,4,6,6,5,0,0,0,0,0,0
"['100', '0', '1010100', '11001']",1,4,9,7,0,16,3.1,21,13,0,4,0,84,25,0,0,0,0,0,0,3,1,7,5,0,0,0,0,0,0
"['1', '100001', '0011']",1,3,6,5,0,11,1.2857142857142856,11,8,0,1,33,3,0,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0
"['101', '110000', '10', '0000001', '00111']",1,5,14,9,0,23,4.631401931401932,39,28,0,5,48,2,1,7,0,0,0,0,0,3,6,2,7,5,0,0,0,0,0
"['0010100', '01', '01010']",1,3,9,5,0,14,1.8492063492063493,10,9,0,20,1,10,0,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,0
"['01111', '0', '11010']",1,3,4,7,2,11,1.0666666666666667,11,7,0,15,0,26,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0
"['100110', '011', '1011', '01110']",1,4,7,11,0,18,4.467748917748918,13,17,0,38,3,11,14,0,0,0,0,0,0,6,3,4,5,0,0,0,0,0,0
"['101101', '0111', '00111']",1,3,5,10,0,15,2.416161616161616,5,9,0,45,7,7,0,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,0
"['1100', '01', '010', '0111111']",1,4,6,10,0,16,2.912842712842713,21,16,0,12,1,2,63,0,0,0,0,0,0,4,2,3,7,0,0,0,0,0,0
"['00', '101', '0100110', '10', '000110', '00111']",1,6,14,11,2,25,8.307492507492508,46,42,0,0,5,38,2,6,7,0,0,0,0,2,3,7,2,6,5,0,0,0,0
"['101011', '10', '11010']",1,3,5,8,0,13,1.7987012987012987,9,9,0,43,2,26,0,0,0,0,0,0,0,6,2,5,0,0,0,0,0,0,0
"['10001', '00', '1010', '0001']",1,4,10,5,2,15,3.96031746031746,13,16,0,17,0,10,1,0,0,0,0,0,0,5,2,4,4,0,0,0,0,0,0
"['0010010', '000', '10', '000111', '00101']",1,5,15,8,0,23,5.858530358530358,31,36,0,18,0,2,7,5,0,0,0,0,0,7,3,2,6,5,0,0,0,0,0
"['00', '1101110', '11001']",1,3,6,8,0,14,1.6825396825396823,11,6,0,0,110,25,0,0,0,0,0,0,0,2,7,5,0,0,0,0,0,0,0
"['011010', '0010', '01110']",1,3,8,7,0,15,2.375757575757576,5,18,0,26,2,14,0,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,0
"['0001', '100100', '00100']",1,3,11,4,0,15,2.175757575757576,6,14,0,1,36,4,0,0,0,0,0,0,0,4,6,5,0,0,0,0,0,0,0
"['0101000', '1011111', '11', '10000']",1,4,10,11,2,21,2.603174603174603,26,15,0,40,95,3,16,0,0,0,0,0,0,7,7,2,5,0,0,0,0,0,0
"['1011010', '0000', '100111', '101', '111', '011']",1,6,11,15,3,26,8.086113886113885,46,41,0,90,0,39,5,7,3,0,0,0,0,7,4,6,3,3,3,0,0,0,0
"['1010', '0010', '1101010', '101110', '1001']",1,5,12,13,3,25,6.711538461538462,24,32,0,10,2,106,46,9,0,0,0,0,0,4,4,7,6,4,0,0,0,0,0
"['00110', '1000001', '0010', '1101', '000110', '1100100', '0011101']",1,7,23,17,5,40,14.07893217893218,64,65,0,6,65,2,13,6,100,29,0,0,0,5,7,4,4,6,7,7,0,0,0
"['101100', '0010', '1000100', '011110', '110', '011000']",1,6,18,14,3,32,8.84998334998335,44,50,0,44,2,68,30,6,24,0,0,0,0,6,4,7,6,3,6,0,0,0,0
"['0110', '101', '101110']",1,3,5,8,0,13,2.038095238095238,8,8,0,6,5,46,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0
"['100', '000010', '1110010']",1,3,10,6,0,16,1.6598290598290597,11,10,0,4,2,114,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0
"['1100', '01001', '0', '01110']",1,4,8,7,2,15,3.0,18,15,0,12,9,0,14,0,0,0,0,0,0,4,5,1,5,0,0,0,0,0,0
"['110000', '1', '0100', '010010', '0101']",1,5,13,8,4,21,5.3880952380952385,30,26,0,48,1,4,18,5,0,0,0,0,0,6,1,4,6,4,0,0,0,0,0
"['010001', '1111', '1110', '0111000']",1,4,9,12,2,21,3.591958041958042,19,15,0,17,15,14,56,0,0,0,0,0,0,6,4,4,7,0,0,0,0,0,0
"['0110', '100101', '1111', '0', '1001']",1,5,8,11,3,19,4.585714285714285,30,20,0,6,37,15,0,9,0,0,0,0,0,4,6,4,1,4,0,0,0,0,0
"['0000', '101', '10111', '01', '10100']",1,5,10,9,2,19,5.328571428571428,25,27,0,0,5,23,1,20,0,0,0,0,0,4,3,5,2,5,0,0,0,0,0
"['1', '10110', '0100']",1,3,5,5,0,10,1.4,9,4,0,1,22,4,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0
"['1100100', '010101', '100', '111', '11010', '000', '0111', '1011', '00100']",1,9,20,20,7,40,21.225052725052723,95,105,0,100,21,4,7,26,0,7,11,4,0,7,6,3,3,5,3,4,4,5,0
"['00', '0001011', '1', '010011', '10111', '101011']",1,6,12,15,2,27,7.377927627927628,51,45,0,0,11,1,19,23,43,0,0,0,0,2,7,1,6,5,6,0,0,0,0
"['0110', '00', '1110', '1110110']",1,4,7,10,2,17,3.648989898989899,17,24,0,6,0,14,118,0,0,0,0,0,0,4,2,4,7,0,0,0,0,0,0
"['100', '0111110', '10', '10011']",1,4,7,10,0,17,3.465873015873016,20,15,0,4,62,2,19,0,0,0,0,0,0,3,7,2,5,0,0,0,0,0,0
"['11001', '010111', '11', '0111100', '010010', '101011']",1,6,13,19,3,32,8.677877677877678,48,39,0,25,23,3,60,18,43,0,0,0,0,5,6,2,7,6,6,0,0,0,0
"['00010', '1', '1001000', '0101', '10000']",1,5,15,7,2,22,5.106565656565657,33,26,0,2,1,72,5,16,0,0,0,0,0,5,1,7,4,5,0,0,0,0,0
"['1', '1100', '0101']",1,3,4,5,2,9,1.3,8,6,0,1,12,5,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0
"['0001110', '01', '001010']",1,3,9,6,0,15,1.7136752136752138,11,10,0,14,1,10,0,0,0,0,0,0,0,7,2,6,0,0,0,0,0,0,0
"['111111', '111001', '0011011', '110111', '100100', '01']",1,6,11,22,4,33,7.976495726495727,51,56,0,63,57,27,55,36,1,0,0,0,0,6,6,7,6,6,2,0,0,0,0
"['00', '0011', '11110', '0101010', '010']",1,5,11,10,0,21,5.191486291486291,30,35,0,0,3,30,42,2,0,0,0,0,0,2,4,5,7,3,0,0,0,0,0
"['11000', '101', '1111100', '10101', '1000010']",1,5,13,14,4,27,5.7785714285714285,35,30,0,24,5,124,21,66,0,0,0,0,0,5,3,7,5,7,0,0,0,0,0
"['1001', '1100', '110', '0000100']",1,4,11,7,2,18,3.669480519480519,18,15,0,9,12,6,4,0,0,0,0,0,0,4,4,3,7,0,0,0,0,0,0
"['000000', '10010', '1', '1101110', '01010']",1,5,14,10,2,24,4.248601398601398,39,22,0,0,18,1,110,10,0,0,0,0,0,6,5,1,7,5,0,0,0,0,0
"['011001', '011100', '0000110', '110000', '00010', '1000']",1,6,22,12,3,34,10.058275058275058,45,56,0,25,28,6,48,2,8,0,0,0,0,6,6,7,6,5,4,0,0,0,0
"['10', '0010011', '1011', '0100']",1,4,9,8,2,17,3.7323232323232323,18,14,0,2,19,11,4,0,0,0,0,0,0,2,7,4,4,0,0,0,0,0,0
"['0001', '1111001', '010']",1,3,7,7,0,14,1.516883116883117,11,6,0,1,121,2,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0
"['11110', '01', '11', '110010']",1,4,5,10,2,15,2.9025974025974026,18,18,0,30,1,3,50,0,0,0,0,0,0,5,2,2,6,0,0,0,0,0,0
"['11001', '100', '0010', '110', '1010000']",1,5,13,9,2,22,6.188311688311688,27,25,0,25,4,2,6,80,0,0,0,0,0,5,3,4,3,7,0,0,0,0,0
"['0001', '0', '11010']",1,3,6,4,0,10,1.1777777777777778,10,6,0,1,0,26,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0
"['1001000', '110', '0010111', '0110']",1,4,11,10,2,21,3.137662337662338,22,16,0,72,6,23,6,0,0,0,0,0,0,7,3,7,4,0,0,0,0,0,0
"['101101', '110', '11011', '110011', '001101', '0100010']",1,6,14,19,3,33,10.026456876456876,45,47,0,45,6,27,51,13,34,0,0,0,0,6,3,5,6,6,7,0,0,0,0
"['1111100', '001010', '0010']",1,3,9,8,0,17,1.6251748251748253,11,15,0,124,10,2,0,0,0,0,0,0,0,7,6,4,0,0,0,0,0,0,0
"['100', '00', '10011', '0110001']",1,4,10,7,0,17,3.8325396825396822,18,14,0,4,0,19,49,0,0,0,0,0,0,3,2,5,7,0,0,0,0,0,0
"['001010', '0000', '01', '001001']",1,4,13,5,2,18,3.7666666666666666,17,22,0,10,0,1,9,0,0,0,0,0,0,6,4,2,6,0,0,0,0,0,0
"['1', '001', '0100']",1,3,5,3,0,8,1.4714285714285715,7,5,0,1,1,4,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0
"['001010', '011010', '1110', '0', '10111', '1100011']",1,6,13,16,2,29,7.6165334665334665,52,37,0,10,26,14,0,23,99,0,0,0,0,6,6,4,1,5,7,0,0,0,0
"['00', '110', '0100010', '10']",1,4,9,5,2,14,2.988888888888889,18,17,0,0,6,34,2,0,0,0,0,0,0,2,3,7,2,0,0,0,0,0,0
"['0100011', '01011', '1101010', '0100101', '0111001']",1,5,16,17,4,33,6.9523809523809526,28,35,0,35,11,106,37,57,0,0,0,0,0,7,5,7,7,7,0,0,0,0,0
"['1', '1100', '10']",1,3,3,4,0,7,1.7333333333333334,6,6,0,1,12,2,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0
"['00', '1', '1110110', '0000010', '00101']",1,5,13,9,2,22,3.746031746031746,42,24,0,0,1,118,2,5,0,0,0,0,0,2,1,7,7,5,0,0,0,0,0
"['0001', '1001', '11', '10011']",1,4,7,8,2,15,3.876984126984127,12,25,0,1,9,3,19,0,0,0,0,0,0,4,4,2,5,0,0,0,0,0,0
"['11111', '0001111', '1110']",1,3,4,12,0,16,1.8787878787878787,9,18,0,31,15,14,0,0,0,0,0,0,0,5,7,4,0,0,0,0,0,0,0
"['011001', '0', '111110']",1,3,5,8,2,13,1.0714285714285714,14,6,0,25,0,62,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0
"['111111', '01', '10']",1,3,2,8,2,10,1.0,12,6,0,63,1,2,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0
"['000001', '1110001', '0100']",1,3,11,6,0,17,1.5608391608391607,10,8,0,1,113,4,0,0,0,0,0,0,0,6,7,4,0,0,0,0,0,0,0
"['000101', '0101', '0011', '110000']",1,4,12,8,4,20,3.816666666666667,18,20,0,5,5,3,48,0,0,0,0,0,0,6,4,4,6,0,0,0,0,0,0
"['1101', '01011', '1011001', '1110', '100100']",1,5,11,15,2,26,6.1431623931623935,28,27,0,13,11,89,14,36,0,0,0,0,0,4,5,7,4,6,0,0,0,0,0
"['1110100', '1011110', '1111000', '01', '10011']",1,5,11,17,3,28,5.492063492063492,39,26,0,116,94,120,1,19,0,0,0,0,0,7,7,7,2,5,0,0,0,0,0
"['10', '00011', '01000', '010', '10011']",1,5,12,8,3,20,5.978571428571429,26,27,0,2,3,8,2,19,0,0,0,0,0,2,5,5,3,5,0,0,0,0,0
"['1000', '11', '011', '000000']",1,4,10,5,0,15,2.2412698412698413,21,16,0,8,3,3,0,0,0,0,0,0,0,4,2,3,6,0,0,0,0,0,0
"['0', '0011', '010']",1,3,5,3,0,8,1.4714285714285715,7,8,0,0,3,2,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
"['10', '011', '0100']",1,3,5,4,0,9,1.638095238095238,6,7,0,2,3,4,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0
"['0110', '001', '010']",1,3,6,4,2,10,2.095238095238095,5,10,0,6,1,2,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0
"['0110101', '1110101', '100', '000111', '11', '011']",1,6,11,17,4,28,8.167399267399267,51,50,0,53,117,4,7,3,3,0,0,0,0,7,7,3,6,2,3,0,0,0,0
"['1110011', '001001', '01']",1,3,7,8,0,15,1.5598290598290598,12,7,0,115,9,1,0,0,0,0,0,0,0,7,6,2,0,0,0,0,0,0,0
"['0111111', '100', '011011', '111', '0010', '010', '1011']",1,7,11,19,5,30,11.318004218004218,60,59,0,63,4,27,7,2,2,11,0,0,0,7,3,6,3,4,3,4,0,0,0
"['0111', '1000011', '1111', '10']",1,4,6,11,2,17,2.77020202020202,20,22,0,7,67,15,2,0,0,0,0,0,0,4,7,4,2,0,0,0,0,0,0
"['1111100', '01010', '0100', '01', '001111']",1,5,11,13,0,24,5.455500055500055,35,33,0,124,10,4,1,15,0,0,0,0,0,7,5,4,2,6,0,0,0,0,0
"['1', '010011', '010111', '001100']",1,4,9,10,3,19,3.0238095238095237,23,13,0,1,19,23,12,0,0,0,0,0,0,1,6,6,6,0,0,0,0,0,0
"['100', '011011', '0111100']",1,3,7,9,0,16,1.8136752136752137,11,10,0,4,27,60,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0
"['110111', '1100', '1101', '10000']",1,4,8,11,2,19,3.624747474747475,15,24,0,55,12,13,16,0,0,0,0,0,0,6,4,4,5,0,0,0,0,0,0
"['00010', '0010010', '10010', '001000']",1,4,17,6,2,23,4.677622377622377,11,37,0,2,18,18,8,0,0,0,0,0,0,5,7,5,6,0,0,0,0,0,0
"['0001011', '000001', '010011', '011']",1,4,13,9,2,22,3.7623931623931623,17,21,0,11,1,19,3,0,0,0,0,0,0,7,6,6,3,0,0,0,0,0,0
"['1001', '01101', '0011100']",1,3,8,8,0,16,1.8787878787878787,10,5,0,9,13,28,0,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0
"['0010', '1010', '01010', '11000']",1,4,11,7,4,18,4.238888888888889,10,22,0,2,10,10,24,0,0,0,0,0,0,4,4,5,5,0,0,0,0,0,0
"['0101010', '111', '10']",1,3,5,7,0,12,1.4444444444444444,11,5,0,42,7,2,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0
"['1110', '101000', '1001110']",1,3,8,9,0,17,1.7426573426573428,9,10,0,14,40,78,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,0
"['0101101', '1010', '01011', '110111', '00100']",1,5,12,15,2,27,6.438927738927739,26,24,0,45,10,11,55,4,0,0,0,0,0,7,4,5,6,5,0,0,0,0,0
"['11011', '10100', '0001001']",1,3,9,8,2,17,1.7666666666666666,10,7,0,27,20,9,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0
"['000100', '100', '1101010', '1111001', '010']",1,5,14,12,4,26,5.991208791208791,35,24,0,4,4,106,121,2,0,0,0,0,0,6,3,7,7,3,0,0,0,0,0
"['1011000', '1100', '0111011', '101']",1,4,9,12,2,21,3.6155844155844155,21,16,0,88,12,59,5,0,0,0,0,0,0,7,4,7,3,0,0,0,0,0,0
"['1000', '01', '101011']",1,3,6,6,0,12,1.4333333333333333,10,7,0,8,1,43,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0
"['1', '1101101', '1010', '1011100']",1,4,7,12,2,19,3.068831168831169,24,16,0,1,109,10,92,0,0,0,0,0,0,1,7,4,7,0,0,0,0,0,0
"['100', '00110', '00100']",1,3,9,4,2,13,2.05,6,15,0,4,6,4,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0
"['101', '11010', '0010101', '0001111', '0100', '111010', '0110110']",1,7,18,21,3,39,13.724891774891775,67,56,0,5,26,21,15,4,58,54,0,0,0,3,5,7,7,4,6,7,0,0,0
"['010110', '1010', '1', '01000', '0100010']",1,5,14,9,0,23,5.411005661005661,31,32,0,22,10,1,8,34,0,0,0,0,0,6,4,1,5,7,0,0,0,0,0
"['0001', '101', '1111', '11011', '010']",1,5,7,12,4,19,5.5,23,25,0,1,5,15,27,2,0,0,0,0,0,4,3,4,5,3,0,0,0,0,0
"['101101', '0001', '0001000', '01011', '01001']",1,5,16,11,2,27,6.3433566433566435,26,29,0,45,1,8,11,9,0,0,0,0,0,6,4,7,5,5,0,0,0,0,0
"['111', '000', '10']",1,3,4,4,2,8,0.8,7,4,0,7,0,2,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0
"['00110', '111000', '0001', '100', '1011001', '011', '1011']",1,7,16,16,4,32,12.735103785103785,59,58,0,6,56,1,4,89,3,11,0,0,0,5,6,4,3,7,3,4,0,0,0
"['00', '1111110', '1']",1,3,3,7,0,10,0.4722222222222222,14,4,0,0,126,1,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0
"['1011', '000010', '1111111']",1,3,6,11,0,17,0.9174825174825175,14,6,0,11,2,127,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,0
"['01100', '01001', '111110', '0100011']",1,4,11,12,2,23,3.3501165501165504,19,18,0,12,9,62,35,0,0,0,0,0,0,5,5,6,7,0,0,0,0,0,0
"['00', '0011001', '1111', '1111011', '1110', '0111', '0101']",1,7,11,21,6,32,11.519480519480519,64,68,0,0,25,15,123,14,7,5,0,0,0,2,7,4,7,4,4,4,0,0,0
"['0000100', '101001', '1111011', '11', '0010001']",1,5,15,14,3,29,5.0396825396825395,42,28,0,4,41,123,3,17,0,0,0,0,0,7,6,7,2,7,0,0,0,0,0
"['0100001', '1110001', '10000']",1,3,12,7,2,19,2.2142857142857144,7,9,0,33,113,16,0,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0
"['110000', '111000', '00010', '011100']",1,4,14,9,3,23,3.9696969696969697,16,24,0,48,56,2,28,0,0,0,0,0,0,6,6,5,6,0,0,0,0,0,0
"['01011', '1111101', '110']",1,3,4,11,0,15,1.6,11,9,0,11,125,6,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,0,0
"['1000011', '00010', '1010101', '110101', '01']",1,5,14,13,2,27,5.771339771339771,33,28,0,67,2,85,53,1,0,0,0,0,0,7,5,7,6,2,0,0,0,0,0
"['0000101', '000000', '1011', '10']",1,4,13,6,0,19,2.875796425796426,23,17,0,5,0,11,2,0,0,0,0,0,0,7,6,4,2,0,0,0,0,0,0
"['111110', '01010', '0000100']",1,3,10,8,0,18,1.337995337995338,11,9,0,62,10,4,0,0,0,0,0,0,0,6,5,7,0,0,0,0,0,0,0
"['11110', '101', '110', '01110']",1,4,5,11,4,16,3.966666666666667,13,18,0,30,5,6,14,0,0,0,0,0,0,5,3,3,5,0,0,0,0,0,0
"['100', '0', '0001110']",1,3,7,4,0,11,1.15,13,9,0,4,0,14,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0
"['10001', '01001', '0', '11']",1,4,7,6,2,13,2.6095238095238096,18,12,0,17,9,0,3,0,0,0,0,0,0,5,5,1,2,0,0,0,0,0,0
"['101010', '011000', '11', '10101', '1011', '00100']",1,6,14,14,4,28,9.432900432900432,41,38,0,42,24,3,21,11,4,0,0,0,0,6,6,2,5,4,5,0,0,0,0
"['1', '1000011', '000']",1,3,7,4,0,11,0.85,13,4,0,1,67,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0
"['111001', '1101', '001000', '1', '11010']",1,5,10,12,2,22,5.1663780663780665,33,26,0,57,13,8,1,26,0,0,0,0,0,6,4,6,1,5,0,0,0,0,0
"['110101', '0011110', '000', '1']",1,4,8,9,0,17,2.0416971916971915,26,10,0,53,30,0,1,0,0,0,0,0,0,6,7,3,1,0,0,0,0,0,0
"['00', '110', '010100', '1110', '0100']",1,5,11,8,2,19,5.473015873015873,24,38,0,0,6,20,14,4,0,0,0,0,0,2,3,6,4,4,0,0,0,0,0
"['00', '01101', '1101100', '11', '011101']",1,5,9,13,2,22,5.222888222888223,33,27,0,0,13,108,3,29,0,0,0,0,0,2,5,7,2,6,0,0,0,0,0
"['1', '1000', '1101', '11001']",1,4,6,8,2,14,3.1888888888888887,15,21,0,1,8,13,25,0,0,0,0,0,0,1,4,4,5,0,0,0,0,0,0
"['1110', '0100111', '1010100']",1,3,8,10,2,18,1.4805194805194803,11,8,0,14,39,84,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0
"['10110', '0001100', '001000', '0001001', '1', '11011', '010010', '1101001']",1,8,25,19,7,44,15.59995004995005,96,71,0,22,12,8,9,1,27,18,105,0,0,5,7,6,7,1,5,6,7,0,0
"['100', '10110', '11100', '1100111']",1,4,8,12,2,20,4.233333333333333,17,18,0,4,22,28,103,0,0,0,0,0,0,3,5,5,7,0,0,0,0,0,0
"['01', '111001', '10']",1,3,4,6,2,10,1.5,10,7,0,1,57,2,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
"['1', '1010110', '00011', '1000010', '01000', '00111']",1,6,17,13,5,30,7.704761904761905,53,35,0,1,86,3,66,8,7,0,0,0,0,1,7,5,7,5,5,0,0,0,0
"['100', '000', '00011', '1000010', '1011']",1,5,14,8,2,22,5.852597402597402,28,31,0,4,0,3,66,11,0,0,0,0,0,3,3,5,7,4,0,0,0,0,0
"['0000', '0110010', '1010', '11110', '01', '1011']",1,6,13,13,3,26,7.326118326118326,43,36,0,0,50,10,30,1,11,0,0,0,0,4,7,4,5,2,4,0,0,0,0
"['00', '1110101', '1100', '111', '0110', '0100001', '00101']",1,7,16,16,4,32,11.566017316017316,67,56,0,0,117,12,7,6,33,5,0,0,0,2,7,4,3,4,7,5,0,0,0
"['1', '010001', '0111010', '10011']",1,4,9,10,0,19,2.557858807858808,24,11,0,1,17,58,19,0,0,0,0,0,0,1,6,7,5,0,0,0,0,0,0
"['100110', '0001111', '1100001', '01000', '01']",1,5,15,12,2,27,5.656454656454656,40,23,0,38,15,97,8,1,0,0,0,0,0,6,7,7,5,2,0,0,0,0,0
"['101101', '0111110', '100110', '110111', '001']",1,5,10,18,3,28,6.1350427350427355,31,22,0,45,62,38,55,1,0,0,0,0,0,6,7,6,6,3,0,0,0,0,0
"['0000', '0001100', '101']",1,3,10,4,0,14,1.412987012987013,11,10,0,0,12,5,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0
"['1111010', '011', '1010', '0110111']",1,4,7,14,2,21,3.4155844155844157,22,21,0,122,3,10,55,0,0,0,0,0,0,7,3,4,7,0,0,0,0,0,0
"['00110', '01101', '1100111', '11', '1101001']",1,5,10,16,4,26,6.046031746031746,35,30,0,6,13,103,3,105,0,0,0,0,0,5,5,7,2,7,0,0,0,0,0
"['11', '0011001', '1111110']",1,3,5,11,2,16,1.3174603174603174,15,8,0,3,25,126,0,0,0,0,0,0,0,2,7,7,0,0,0,0,0,0,0
"['0010011', '0', '11001']",1,3,7,6,0,13,1.25,13,5,0,19,0,25,0,0,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0
"['00', '10', '10101', '11110', '011']",1,5,7,10,4,17,4.95,26,21,0,0,2,21,30,3,0,0,0,0,0,2,2,5,5,3,0,0,0,0,0
"['11000', '0100000', '11']",1,3,9,5,0,14,1.4603174603174602,12,8,0,24,32,3,0,0,0,0,0,0,0,5,7,2,0,0,0,0,0,0,0
"['1', '01101', '111001']",1,3,4,8,0,12,1.3463203463203464,11,9,0,1,13,57,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0
"['110', '0101', '111011', '011']",1,4,5,11,2,16,4.0285714285714285,14,19,0,6,5,59,3,0,0,0,0,0,0,3,4,6,3,0,0,0,0,0,0
"['010001', '010', '0100011']",1,3,10,6,0,16,2.18974358974359,8,15,0,17,2,35,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,0
"['1000', '0101', '000', '11010']",1,4,10,6,2,16,3.761904761904762,13,16,0,8,5,0,26,0,0,0,0,0,0,4,4,3,5,0,0,0,0,0,0
"['1100', '0', '11100']",1,3,5,5,0,10,1.6222222222222222,8,10,0,12,0,28,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0
"['00', '10110', '1', '0101010', '10100']",1,5,11,9,2,20,4.970634920634921,32,23,0,0,22,1,42,20,0,0,0,0,0,2,5,1,7,5,0,0,0,0,0
"['1', '10', '10010']",1,3,4,4,0,8,1.5714285714285714,8,8,0,1,2,18,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0
"['1100', '0010', '0100', '0111', '1011', '1101001']",1,6,13,14,5,27,9.022727272727273,40,38,0,12,2,4,7,11,105,0,0,0,0,4,4,4,4,4,7,0,0,0,0
