label,isCode,wordsLen,ZeroLen,OneLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart,isLongueurFixe,kraftMcMilanSatisfied,WordsWithSameSizeLen
"['100001', '1010', '111', '0', '1010010']",1,5,11,10,21,4.494244644244644,35,25,0,1,0
"['00110', '1001', '11']",1,3,5,6,11,1.9047619047619047,8,4,0,1,0
"['00', '1110001', '0110000', '10001', '0110011']",1,5,16,12,28,6.214285714285714,32,27,0,1,3
"['00', '1000', '11']",1,3,5,3,8,1.0,7,6,0,1,2
"['00001', '0101101', '1010']",1,3,9,7,16,1.323232323232323,9,7,0,1,0
"['1010001', '0011', '100', '1100', '1000101', '111101', '000001']",1,7,20,17,37,12.072072372072371,68,71,0,1,6
"['0110', '000100', '010', '10']",1,4,10,5,15,4.09047619047619,14,22,0,1,0
"['101', '10', '0010000', '1001111', '1011']",1,5,11,12,23,5.7321789321789325,36,28,0,1,2
"['1', '0001101', '1110']",1,3,5,7,12,1.1954545454545453,13,6,0,1,0
"['001000', '01010', '0001010', '011', '1010010']",1,5,18,10,28,6.720618270618271,27,38,0,1,2
"['000011', '10', '1110110', '110', '000001', '000010', '01']",1,7,19,13,32,10.376923076923077,76,63,0,1,5
"['100', '11101', '0', '11010']",1,4,6,8,14,3.216666666666667,17,11,0,1,2
"['00', '011010', '11']",1,3,5,5,10,1.0,10,4,0,1,2
"['00001', '0', '1011101']",1,3,7,6,13,0.9166666666666666,14,5,0,1,0
"['100', '000100', '111001', '10']",1,4,10,7,17,3.6333333333333333,19,14,0,1,2
"['0', '111000', '10']",1,3,5,4,9,1.4523809523809523,10,6,0,1,0
['0111'],1,1,1,3,4,0,0,0,1,1,0
['1100110'],1,1,3,4,7,0,0,0,1,1,0
"['1', '001', '01']",1,3,3,3,6,1.9666666666666668,4,7,0,1,0
"['110', '1100000', '0001010', '100011']",1,4,14,9,23,3.543345543345543,22,17,0,1,2
"['110', '011', '01', '011100']",1,4,6,8,14,3.7,15,17,0,1,2
"['0000111', '100', '100000', '1110001', '1110', '11', '01001']",1,7,18,16,34,11.563236763236763,74,66,0,1,2
"['0001', '010', '00111']",1,3,7,5,12,1.7380952380952381,7,7,0,1,0
"['1100', '01', '100111', '11']",1,4,5,9,14,3.1,18,19,0,1,2
"['11111', '010011', '01']",1,3,4,9,13,1.1493506493506493,11,9,0,1,0
"['1001', '01', '0110000']",1,3,8,5,13,1.6565656565656566,11,6,0,1,0
"['0001', '0', '11110', '100100', '011']",1,5,10,9,19,4.220779220779221,33,22,0,1,0
"['00110', '011011', '000', '0010', '0111101']",1,5,13,12,25,6.649100899100899,28,35,0,1,0
"['000111', '001', '111011', '101100']",1,4,9,12,21,3.2222222222222223,22,18,0,1,3
['0001'],1,1,3,1,4,0,0,0,1,1,0
['100010'],1,1,4,2,6,0,0,0,1,1,0
"['00', '101', '101111']",1,3,4,7,11,1.3166666666666667,10,6,0,1,0
"['100', '00', '0111010', '11010']",1,4,9,8,17,3.999206349206349,17,20,0,1,0
"['1001000', '0011', '00011']",1,3,10,6,16,1.9343434343434343,9,13,0,1,0
"['101', '111', '00000', '0001010', '1110000']",1,5,15,10,25,4.988095238095238,38,32,0,1,4
"['010011', '10110', '100011']",1,3,8,9,17,2.287878787878788,8,10,0,1,2
['10110'],1,1,2,3,5,0,0,0,1,1,0
"['00', '1000111', '10']",1,3,6,5,11,1.3888888888888888,11,5,0,1,2
"['00', '11011', '0001']",1,3,6,5,11,1.3968253968253967,9,6,0,1,0
"['00', '10010', '110101', '11110', '01']",1,5,9,11,20,4.887012987012987,29,21,0,1,4
"['100', '100011', '1111011', '001', '1001110']",1,5,11,15,26,6.0989010989010985,35,32,0,1,4
"['00110', '1001', '0000', '001011']",1,4,12,7,19,3.7606060606060607,15,16,0,1,2
"['00110', '0001', '10110', '0', '01001', '10100']",1,6,15,10,25,8.177777777777777,40,42,0,1,4
"['011001', '000000', '1111', '1110', '01']",1,5,11,11,22,3.9,36,24,0,1,4
"['01100', '111100', '1101', '1', '1100001']",1,5,10,13,23,5.2723110223110226,35,28,0,1,0
"['0111000', '11101', '110101', '001110', '01110']",1,5,12,17,29,7.093706293706294,26,28,0,1,4
"['11000', '00', '10', '1000100', '01111', '11011', '10011']",1,7,15,16,31,10.86984126984127,68,60,0,1,6
"['111111', '101001', '0110', '010011', '00000', '11110', '0000100']",1,7,20,19,39,9.656332556332556,72,58,0,1,5
"['100', '011', '010']",1,3,5,4,9,1.6666666666666665,6,7,1,1,3
"['0000', '0011', '011010', '111001', '00010', '0100111', '001', '1011', '01110']",1,9,23,21,44,21.996930846930848,98,100,0,1,7
['1100'],1,1,2,2,4,0,0,0,1,1,0
"['0110', '11000', '00111']",1,3,7,7,14,1.7333333333333334,10,8,0,1,2
['0011'],1,1,2,2,4,0,0,0,1,1,0
"['00', '110', '00011', '1001100', '01']",1,5,11,8,19,5.098412698412698,32,26,0,1,2
"['1', '010010', '1110', '01011']",1,4,7,9,16,2.5907647907647906,20,14,0,1,0
"['101', '001', '001000', '000111', '10101', '0101']",1,6,15,12,27,9.247258297258297,38,47,0,1,4
"['01101', '110010', '110000', '0110', '10111', '0100', '01', '0000000', '01110']",1,9,25,19,44,20.535653235653236,113,109,0,1,7
"['1', '001101', '101']",1,3,4,6,10,1.4523809523809523,10,10,0,1,0
"['1', '00110', '01']",1,3,4,4,8,1.5714285714285714,8,4,0,1,0
"['101101', '11001', '000110', '1001000', '00000', '111010', '000010', '001', '01', '10100']",1,10,31,20,51,26.092324342324343,132,133,0,1,7
"['1000011', '010111', '0110100', '011', '1010010']",1,5,15,15,30,5.873260073260073,34,27,0,1,3
"['110', '01', '111001', '111101']",1,4,5,12,17,3.5666666666666664,17,21,0,1,2
"['00110', '010', '000', '01', '10011']",1,5,11,7,18,6.309523809523809,22,24,0,1,4
"['0101001', '11000', '01110', '0000', '0100101', '11010']",1,6,19,14,33,9.012265512265511,40,44,0,1,5
"['100', '000101', '0111', '1101']",1,4,8,9,17,3.0015873015873016,17,16,0,1,2
"['0111', '010011', '0', '00010']",1,4,9,7,16,2.6089466089466087,19,16,0,1,0
"['100', '1011110', '1011011', '10', '10011']",1,5,9,15,24,6.40079365079365,31,38,0,1,2
"['0100110', '000000', '11011', '1110', '11', '010111']",1,6,14,16,30,7.516339216339216,52,44,0,1,2
"['110101', '1011111', '0001101']",1,3,7,13,20,1.6593406593406594,9,11,0,1,2
"['11111', '11001', '10', '1100111']",1,4,5,14,19,3.234920634920635,18,31,0,1,2
"['10', '01011', '11', '01000', '001']",1,5,9,8,17,4.9,25,23,0,1,4
"['110111', '11100', '00010']",1,3,7,9,16,1.309090909090909,11,8,0,1,2
"['0000101', '0', '0011011']",1,3,9,6,15,1.2142857142857144,15,7,0,1,2
"['1001', '1100', '000', '0100']",1,4,10,5,15,3.9642857142857144,10,16,0,1,3
"['011100', '0010100', '0110', '01011', '1001100', '100000', '01']",1,7,22,15,37,12.566994116994117,67,70,0,1,4
"['000011', '11', '011', '011010']",1,4,8,9,17,3.6333333333333333,18,18,0,1,2
"['000101', '011', '10']",1,3,6,5,11,1.5666666666666667,9,6,0,1,0
['0000100'],1,1,6,1,7,0,0,0,1,1,0
"['0001110', '1011000', '1111', '010000']",1,4,13,11,24,2.9222777222777223,23,16,0,1,2
"['1110', '01', '10']",1,3,3,5,8,1.5,7,7,0,1,2
"['1111011', '1010011', '010000', '011']",1,4,10,13,23,3.138949938949939,22,19,0,1,2
"['0111110', '010', '11001', '110011', '01', '101011']",1,6,11,18,29,8.556121656121656,48,40,0,1,2
['011000'],1,1,4,2,6,0,0,0,1,1,0
"['100111', '000', '001000']",1,3,10,5,15,1.6111111111111112,11,10,0,1,2
"['0001110', '1001011', '10', '110', '0111']",1,5,10,13,23,5.58066378066378,33,26,0,1,2
['1000101'],1,1,4,3,7,0,0,0,1,1,0
"['00', '1111100', '001', '10100']",1,4,9,8,17,3.3825396825396825,21,22,0,1,0
"['100101', '100', '10100', '0010110']",1,4,12,9,21,3.9980186480186477,17,18,0,1,0
"['10110', '0101', '1000', '1011']",1,4,8,9,17,3.9722222222222223,13,17,0,1,3
"['100000', '01', '010111', '0000100']",1,4,14,7,21,2.7585470085470085,25,17,0,1,2
"['0001', '1101100', '001', '011111']",1,4,9,11,20,2.9267621267621267,23,18,0,1,0
"['1', '001', '0010101']",1,3,6,5,11,1.35,12,9,0,1,0
"['101', '111110', '101110', '0111', '1011']",1,5,6,17,23,6.723015873015873,23,36,0,1,4
"['0', '1010', '101011']",1,3,5,6,11,1.4857142857142858,10,7,0,1,0
"['110010', '10', '101111', '0110000', '01']",1,5,11,12,23,5.119658119658119,39,22,0,1,4
['01100'],1,1,3,2,5,0,0,0,1,1,0
"['000100', '1100', '10110', '111', '11010']",1,5,11,12,23,6.09011544011544,25,28,0,1,2
"['110001', '01', '0110011', '100111']",1,4,9,12,21,3.6495726495726495,21,19,0,1,2
['0001101'],1,1,4,3,7,0,0,0,1,1,0
"['000111', '0011', '0110']",1,3,7,7,14,2.15,7,8,0,1,2
"['11000', '1110100', '0111111', '1100', '110', '11101', '0000001']",1,7,17,21,38,11.81010101010101,73,75,0,1,5
"['111', '0010101', '11011', '01000', '110011', '1100011', '100100']",1,7,18,21,39,13.432889332889333,64,81,0,1,6
['0001001'],1,1,5,2,7,0,0,0,1,1,0
"['1100101', '1100', '0110', '110111', '11', '1001', '0101', '11010']",1,8,14,22,36,18.528538128538127,71,94,0,1,4
"['010110', '0', '00011', '01', '001111']",1,5,10,10,20,5.264069264069264,33,25,0,1,2
"['011010', '101001', '100101', '1001', '0001000']",1,5,17,12,29,6.391608391608392,28,26,0,1,3
"['000111', '110', '00111']",1,3,6,8,14,1.8535353535353534,8,13,0,1,0
['000'],1,1,3,0,3,0,0,0,1,1,0
"['1', '000111', '1010111']",1,3,5,9,14,1.304945054945055,13,11,0,1,0
['1100010'],1,1,4,3,7,0,0,0,1,1,0
['1111001'],1,1,2,5,7,0,0,0,1,1,0
"['11', '111001', '10']",1,3,3,7,10,1.5,9,10,0,1,2
"['011010', '0001111', '0', '110101', '011']",1,5,10,13,23,4.942796092796093,38,23,0,1,2
"['1100', '1101111', '11', '00001', '1010010']",1,5,11,14,25,5.129870129870129,38,32,0,1,2
"['110010', '111110', '001100', '101111', '1000', '100010']",1,6,16,18,34,8.666666666666666,43,45,0,1,5
"['1010', '101100', '0000000']",1,3,12,5,17,1.4713286713286715,11,10,0,1,0
"['101', '011', '11']",1,3,2,6,8,2.2666666666666666,4,10,0,1,2
"['00001', '011', '0101110']",1,3,8,7,15,1.4333333333333333,11,7,0,1,0
"['10001', '10110', '00000']",1,3,10,5,15,1.6,8,5,1,1,3
"['010', '1000001', '0011000', '101100', '01']",1,5,16,9,25,5.657753357753358,36,23,0,1,2
"['011', '0', '101111']",1,3,3,7,10,1.4523809523809523,10,5,0,1,0
"['11000', '0000', '011111', '1100', '1110010', '10']",1,6,14,14,28,8.006510156510156,49,47,0,1,2
['01111'],1,1,1,4,5,0,0,0,1,1,0
"['000011', '1000', '10101']",1,3,9,6,15,1.812121212121212,8,9,0,1,0
"['00', '111', '110000', '1101110', '01', '11010']",1,6,11,14,25,7.652181152181152,48,44,0,1,2
"['110', '001', '100111']",1,3,5,7,12,1.4444444444444444,10,7,0,1,2
"['0000', '111100', '110', '00111']",1,4,9,9,18,2.842279942279942,20,21,0,1,0
"['1110101', '000101', '00000', '100100', '1011101']",1,5,17,14,31,5.80985680985681,30,33,0,1,4
"['100100', '01', '111011']",1,3,6,8,14,1.5,12,6,0,1,2
"['00', '01', '110000']",1,3,7,3,10,1.25,10,8,0,1,2
"['111101', '1011111', '111', '010']",1,4,4,15,19,3.213675213675214,20,23,0,1,2
"['11011', '11', '0101', '00100']",1,4,7,9,16,3.257142857142857,17,14,0,1,2
"['0', '10101', '0011']",1,3,5,5,10,1.4,9,4,0,1,0
"['1010111', '101', '00001', '110111', '110101', '0001000']",1,6,16,18,34,8.284049284049285,50,54,0,1,4
"['011111', '000000', '0100', '100010']",1,4,14,8,22,2.5666666666666664,22,17,0,1,3
['1001011'],1,1,3,4,7,0,0,0,1,1,0
"['10001', '10101', '010000', '0100']",1,4,13,7,20,4.206060606060606,13,14,0,1,2
"['11011', '10101', '1101']",1,3,4,10,14,2.3555555555555556,4,18,0,1,2
"['000100', '1001011', '0010', '10101', '0111011', '1110000']",1,6,19,17,36,9.37975357975358,50,38,0,1,3
"['011001', '01101', '111000', '011111', '0001100', '001100']",1,6,18,18,36,10.178321678321678,39,55,0,1,4
"['100', '10111', '1']",1,3,3,6,9,1.3333333333333333,9,9,0,1,0
"['1011011', '1010', '00010', '1100111', '1110001', '1101001', '0110110']",1,7,19,25,44,13.891774891774892,67,59,0,1,5
"['010101', '111', '0110', '110', '1001110']",1,5,9,14,23,6.549006549006549,27,27,0,1,2
"['0001', '101', '110100', '1100', '01111', '011000', '11', '0110100']",1,8,18,19,37,16.68670218670219,81,87,0,1,4
"['1000', '11', '1101110']",1,3,5,8,13,1.323232323232323,12,8,0,1,0
"['00', '110', '10']",1,3,4,3,7,1.7000000000000002,4,7,0,1,2
"['00', '001010', '1']",1,3,6,3,9,0.7857142857142857,11,6,0,1,0
"['0100000', '01', '00100']",1,3,11,3,14,1.6825396825396823,11,11,0,1,0
"['100101', '11', '010110', '0001']",1,4,9,9,18,3.0,19,11,0,1,2
['101001'],1,1,3,3,6,0,0,0,1,1,0
['0010101'],1,1,4,3,7,0,0,0,1,1,0
"['0101001', '11001', '110010', '1100101', '110111', '1000']",1,6,16,19,35,10.757442557442557,35,63,0,1,4
"['100', '10', '00111']",1,3,5,5,10,1.5857142857142859,9,8,0,1,0
"['0110', '11000', '01110']",1,3,7,7,14,2.1555555555555554,7,12,0,1,2
"['1001', '0101111', '10']",1,3,5,8,13,1.6565656565656566,11,7,0,1,0
"['1101011', '1000011', '01']",1,3,7,9,16,1.6031746031746033,12,11,0,1,2
"['011001', '101', '0011111', '10101', '1010101', '101000', '1010100']",1,7,19,22,41,13.463275613275613,62,92,0,1,5
"['00', '0001000', '1111']",1,3,8,5,13,0.6262626262626263,15,8,0,1,0
"['0001', '00101', '10110']",1,3,8,6,14,1.711111111111111,7,8,0,1,2
"['1010111', '000', '10001', '001', '10000']",1,5,14,9,23,6.183333333333334,27,32,0,1,4
"['0000', '1100', '1101', '0110001', '0111', '010']",1,6,14,12,26,8.612987012987013,38,39,0,1,4
"['111101', '010', '001111', '100']",1,4,7,11,18,3.1111111111111107,22,14,0,1,4
['0100101'],1,1,4,3,7,0,0,0,1,1,0
"['001', '111', '0010']",1,3,5,5,10,1.476190476190476,6,6,0,1,2
['010101'],1,1,3,3,6,0,0,0,1,1,0
"['10001', '0', '11111', '101011']",1,4,6,11,17,2.10995670995671,21,15,0,1,2
"['111', '011000', '010', '100111']",1,4,8,10,18,3.0555555555555554,21,13,0,1,4
['100001'],1,1,4,2,6,0,0,0,1,1,0
"['1101010', '01111', '001001', '100']",1,4,10,11,21,3.344172494172494,22,14,0,1,0
"['0111', '0101', '10101']",1,3,5,8,13,2.3055555555555554,4,10,0,1,2
"['10110', '111001', '001001', '00101', '01']",1,5,12,12,24,6.1367965367965365,29,31,0,1,4
"['100', '01100', '0010000', '010010', '010001']",1,5,19,8,27,7.022494172494173,25,37,0,1,2
"['00', '01', '101111', '1000101']",1,4,8,9,17,2.6004273504273505,23,12,0,1,2
"['0101000', '0100110', '0100']",1,3,12,6,18,2.168831168831169,9,20,0,1,2
"['00', '01101', '100111', '101', '0100']",1,5,10,10,20,6.12012987012987,27,22,0,1,0
"['00', '01011', '110', '011', '0010001']",1,5,11,9,20,5.399206349206349,31,27,0,1,2
"['10', '0011111', '1111', '000011', '01']",1,5,8,13,21,4.325990675990676,38,30,0,1,2
"['1111', '1000111', '0101']",1,3,5,10,15,1.5909090909090908,9,12,0,1,2
"['100', '110010', '00100']",1,3,9,5,14,2.143939393939394,8,9,0,1,0
['0010100'],1,1,5,2,7,0,0,0,1,1,0
"['0011011', '10', '1', '010010', '100010']",1,5,12,10,22,4.996642246642247,39,24,0,1,2
"['11000', '1111010', '1110', '101110', '0101']",1,5,10,16,26,6.2651903651903655,28,29,0,1,2
"['00110', '0010', '11', '0000000', '0111010']",1,5,16,9,25,5.1060606060606055,37,34,0,1,2
"['1', '00', '01000', '110']",1,4,7,4,11,2.3047619047619046,16,12,0,1,0
"['1111', '011', '10100']",1,3,4,8,12,1.5158730158730158,8,8,0,1,0
"['001001', '11101', '010110', '0']",1,4,9,9,18,2.6623376623376624,23,11,0,1,2
"['00', '10', '1']",1,3,3,2,5,1.1666666666666665,4,4,0,1,2
"['0111', '01001', '001100', '1011000']",1,4,12,10,22,3.975291375291375,17,15,0,1,0
['10011'],1,1,2,3,5,0,0,0,1,1,0
['10001'],1,1,3,2,5,0,0,0,1,1,0
"['01101', '1100110', '1000111', '11', '1001']",1,5,10,15,25,6.073593073593074,33,34,0,1,2
"['110', '001', '01']",1,3,4,4,8,1.5333333333333334,6,7,0,1,2
"['011', '111', '000110']",1,3,5,7,12,1.7777777777777777,8,6,0,1,2
"['100001', '001', '011', '0111000']",1,4,11,8,19,3.393162393162393,21,15,0,1,2
"['11110', '1100001', '001', '010000']",1,4,12,9,21,2.927311577311577,22,14,0,1,0
"['00110', '0111000', '110001', '000111', '101110', '0111100', '11110', '01']",1,8,20,24,44,17.523687423687424,92,80,0,1,7
"['00', '11011', '10000']",1,3,7,5,12,1.2571428571428571,10,6,0,1,2
"['1110100', '1011111', '111', '011', '1101', '1010', '001']",1,7,10,21,31,12.247835497835498,62,71,0,1,7
"['1100', '1000100', '1110', '010010', '1001', '011', '10000']",1,7,19,14,33,12.574930624930625,57,56,0,1,3
"['0000', '1100', '111', '1101', '011']",1,5,8,10,18,5.023809523809524,22,30,0,1,5
"['01100', '001', '011101', '001101', '1100000']",1,5,15,12,27,5.888733488733489,33,34,0,1,2
"['00', '100110', '1111100', '110', '01010', '001110', '011', '0010001']",1,8,20,19,39,16.034459984459986,93,85,0,1,6
"['11110', '01001', '11']",1,3,4,8,12,1.5428571428571427,10,8,0,1,2
['1110000'],1,1,4,3,7,0,0,0,1,1,0
"['0000111', '110111', '110', '1111', '0']",1,5,7,14,21,4.434648684648685,36,38,0,1,0
"['01011', '00', '1000', '1']",1,4,7,5,12,2.4158730158730157,17,12,0,1,0
"['1001', '011010', '0', '10111', '1100001', '100000', '0010001']",1,7,21,15,36,11.046553446553446,77,51,0,1,4
"['00', '101', '1110110', '011110', '10111', '1001100', '010', '001111']",1,8,16,23,39,16.088306138306137,91,72,0,1,6
"['0110', '0', '11100', '111111']",1,4,5,11,16,2.3454545454545452,22,14,0,1,0
['0010001'],1,1,5,2,7,0,0,0,1,1,0
"['111110', '0010', '10', '1110', '01']",1,5,7,11,18,5.283333333333333,28,30,0,1,4
"['00110', '100', '101', '10110', '000', '1111100', '001']",1,7,15,14,29,12.433333333333334,56,64,0,1,6
['1100011'],1,1,3,4,7,0,0,0,1,1,0
"['00', '1010001', '110', '100000', '01']",1,5,13,7,20,4.398717948717949,34,22,0,1,2
"['011100', '0010', '110', '0111', '011']",1,5,9,11,20,6.4714285714285715,22,34,0,1,4
"['0000111', '010011', '000']",1,3,10,6,16,1.8136752136752137,9,11,0,1,0
"['100001', '101', '110000', '1110', '1010011', '11']",1,6,13,15,28,8.621389721389722,47,56,0,1,2
['111100'],1,1,2,4,6,0,0,0,1,1,0
"['11110', '010', '0010', '100010']",1,4,10,8,18,3.631890331890332,15,24,0,1,0
"['010101', '100', '101001', '01010', '111010', '10000']",1,6,17,14,31,10.266666666666666,38,41,0,1,5
"['11111', '01100', '101', '00000']",1,4,9,9,18,2.05,20,10,0,1,3
"['11', '0010', '01110']",1,3,5,6,11,1.5714285714285714,8,5,0,1,0
"['1110010', '101100', '11111', '0110', '1001100', '01']",1,6,13,18,31,8.628671328671329,50,39,0,1,2
"['011', '111000', '10']",1,3,5,6,11,1.3444444444444446,10,7,0,1,0
"['00', '1000011', '111111']",1,3,6,9,15,0.7521367521367521,15,6,0,1,0
"['000', '11011', '0111100', '001101', '011']",1,5,11,13,24,5.5093240093240095,32,28,0,1,2
"['110001', '1100', '101', '000', '001011']",1,5,12,10,22,5.8428571428571425,28,29,0,1,4
"['1010', '0011011', '111', '0001001', '0011010', '0000001', '01', '0110011']",1,8,24,20,44,15.13044733044733,99,79,0,1,5
"['0011110', '0101', '0011']",1,3,7,8,15,2.0227272727272725,9,9,0,1,2
"['00110', '100001', '111100', '1010', '01111', '11101', '0110001']",1,7,17,21,38,12.862393162393163,62,57,0,1,5
"['0001011', '1101100', '11011', '011000', '001100', '011']",1,6,17,17,34,9.894388944388945,47,59,0,1,4
"['1100101', '011', '0', '0010']",1,4,8,7,15,2.8487012987012985,20,11,0,1,0
"['01101', '010', '010111', '10']",1,4,7,9,16,4.0153679653679655,15,17,0,1,0
"['0111', '0011', '10011']",1,3,5,8,13,2.3055555555555554,4,11,0,1,2
"['01100', '1001', '0010']",1,3,8,5,13,2.083333333333333,7,5,0,1,2
"['1011', '000', '0011', '1110101']",1,4,8,10,18,3.2798701298701296,18,16,0,1,2
"['1111000', '11', '011100']",1,3,6,9,15,1.7136752136752138,11,7,0,1,0
"['011010', '000110', '0110', '1110', '010111']",1,5,12,14,26,6.75,24,43,0,1,5
['0000'],1,1,4,0,4,0,0,0,1,1,0
"['100', '000', '11', '011', '00100']",1,5,10,6,16,4.819047619047619,23,29,0,1,3
"['010010', '0101000', '01100', '1000000', '1011001', '0111101', '1010101', '1111000', '011', '10000']",1,10,34,27,61,27.565534465534466,142,133,0,1,8
"['100', '11110', '010100', '11100']",1,4,9,10,19,3.8075757575757576,14,20,0,1,2
"['1', '100111', '0010101']",1,3,6,8,14,1.304945054945055,14,8,0,1,0
"['1010111', '111100', '000', '10001', '0111', '011']",1,6,12,16,28,8.060456210456211,48,43,0,1,2
"['100', '110110', '000', '1']",1,4,7,6,13,2.5634920634920633,18,12,0,1,2
"['0001010', '11', '1000101']",1,3,9,7,16,1.746031746031746,12,4,0,1,2
"['0001101', '00010', '0110', '1110', '010010', '1000', '0000000']",1,7,25,12,37,12.648157398157398,61,83,0,1,5
"['11', '01', '10']",1,3,2,4,6,1.5,4,6,1,1,3
"['00001', '00101', '111', '0011']",1,4,9,8,17,3.476984126984127,13,19,0,1,2
"['0001011', '111100', '000', '1', '010011']",1,5,12,11,23,3.887240537240537,42,29,0,1,2
"['0110101', '01', '110100']",1,3,7,8,15,1.7136752136752138,11,8,0,1,0
"['1100', '1111110', '0', '10111', '0100']",1,5,8,13,21,4.431313131313131,35,24,0,1,2
"['1100011', '0000', '1110', '10100']",1,4,11,9,20,2.896464646464646,19,14,0,1,2
"['001110', '1110', '101100', '01000']",1,4,11,10,21,3.9838383838383837,14,20,0,1,2
"['110101', '0011', '10', '10000']",1,4,9,8,17,2.7946608946608946,19,15,0,1,0
"['00', '0011', '0111000', '111110', '1001', '001101']",1,6,14,15,29,8.2994560994561,51,41,0,1,4
"['1', '000', '1010100']",1,3,7,4,11,0.65,13,6,0,1,0
"['11001', '0011100', '0110', '001011', '101110', '0100', '010001', '00111']",1,8,22,21,43,18.415656565656565,77,83,0,1,7
"['1', '000100', '011', '0011']",1,4,8,6,14,3.087301587301587,18,14,0,1,0
"['0001', '01100', '00101', '111']",1,4,9,8,17,2.996825396825397,15,14,0,1,2
"['01101', '01', '111011', '011100']",1,4,7,12,19,3.6926406926406927,18,15,0,1,2
"['01000', '1111', '0000110', '000110']",1,4,13,9,22,2.9543900543900543,20,23,0,1,0
"['011', '10010', '011100']",1,3,7,7,14,1.712121212121212,10,8,0,1,0
"['010110', '111010', '01100', '1101', '0110', '1010011', '1001', '1011']",1,8,17,23,40,18.723504273504272,71,72,0,1,6
['1101110'],1,1,2,5,7,0,0,0,1,1,0
"['1001010', '00010', '01110']",1,3,10,7,17,1.5999999999999999,7,12,0,1,2
"['00', '11001', '0001', '0110001', '0111']",1,5,12,10,22,6.137085137085137,28,30,0,1,2
"['0001', '0010100', '101', '1101', '11111', '01010', '1001100', '001111']",1,8,19,22,41,16.132140082140083,84,77,0,1,6
"['11110', '1100', '010', '1']",1,4,5,8,13,2.9714285714285715,16,12,0,1,0
"['111111', '10', '010011', '1001100', '011101']",1,5,10,17,27,4.886752136752137,36,24,0,1,3
"['00001', '000011', '000', '0010']",1,4,14,4,18,4.4495670995670995,12,30,0,1,0
"['0000', '10', '10010', '11', '001']",1,5,10,6,16,4.764285714285714,24,22,0,1,2
"['0001101', '11', '0100', '001111']",1,4,9,10,19,2.8106449106449105,22,15,0,1,0
"['110001', '10110', '000', '1111011', '1001', '10100', '101011']",1,7,16,20,36,12.773215673215674,59,67,0,1,4
"['00', '1101', '1001000', '010100', '11101', '10111']",1,6,14,15,29,8.01035631035631,49,39,0,1,2
"['1', '0011110', '110', '0000000']",1,4,11,7,18,1.9785714285714286,29,14,0,1,2
"['100', '1', '11010']",1,3,4,5,9,1.5833333333333333,8,6,0,1,0
"['001101', '10', '00111']",1,3,6,7,13,1.6948051948051948,9,9,0,1,0
"['0110101', '01', '1101']",1,3,5,8,13,1.8383838383838382,10,11,0,1,0
"['00', '001001', '0011']",1,3,8,4,12,1.9666666666666668,8,12,0,1,0
"['000', '1010100', '0100']",1,3,10,4,14,1.6987012987012986,8,15,0,1,0
"['1011100', '0001', '0010101', '1000', '010', '0111010', '10000']",1,7,22,15,37,12.267027417027416,66,66,0,1,5
"['100', '01000', '0010', '1110100']",1,4,12,7,19,3.80021645021645,17,21,0,1,0
"['0111000', '000110', '1111', '1110', '011000', '11011', '10001', '11100']",1,8,19,23,42,17.846037296037295,79,84,0,1,7
"['0011111', '1000', '1111', '01001']",1,4,8,12,20,2.952020202020202,21,19,0,1,2
"['110110', '000', '1101']",1,3,6,7,13,1.53015873015873,9,7,0,1,0
"['01111', '0111', '010000', '1111010']",1,4,9,13,22,3.326184926184926,20,24,0,1,0
"['1101011', '100', '10110', '1', '1110000']",1,5,10,13,23,5.188095238095238,39,26,0,1,2
"['0111110', '1101010', '1101101', '0', '0011010', '1001']",1,6,14,19,33,7.763636363636364,58,35,0,1,4
['1110'],1,1,1,3,4,0,0,0,1,1,0
['0101'],1,1,2,2,4,0,0,0,1,1,0
"['1011111', '1000', '10']",1,3,5,8,13,1.4747474747474747,12,9,0,1,0
"['0001110', '11011', '1010101', '1000', '1001110']",1,5,14,16,30,6.111111111111111,30,29,0,1,3
['0001010'],1,1,5,2,7,0,0,0,1,1,0
"['110100', '1110010', '000101', '010111', '0101']",1,5,14,15,29,6.258275058275059,30,31,0,1,3
"['1100', '101010', '011110', '0', '001']",1,5,10,10,20,4.465079365079365,33,24,0,1,2
"['00', '101', '111', '110', '0001010', '010001']",1,6,13,11,24,7.315384615384615,47,32,0,1,3
"['0101011', '0101100', '10']",1,3,8,8,16,1.6031746031746033,13,9,0,1,2
"['11110', '1111110', '01']",1,3,3,11,14,1.3412698412698414,12,13,0,1,0
"['1000100', '010011', '111', '001']",1,4,10,9,19,3.0598290598290596,21,15,0,1,2
"['00001', '1001', '0001100']",1,3,11,5,16,1.8787878787878787,9,9,0,1,0
"['011101', '0100000', '000']",1,3,11,5,16,1.505982905982906,12,13,0,1,0
"['1110100', '11001', '100', '0100011', '0100101', '110111', '10111']",1,7,17,23,40,13.243628593628593,65,75,0,1,5
"['101', '10', '000101', '001100', '011101']",1,5,12,11,23,6.0777777777777775,29,27,0,1,3
"['110', '011', '1011', '10100']",1,4,6,9,15,3.761904761904762,12,18,0,1,2
"['110001', '1111', '0', '0001010', '00100']",1,5,13,10,23,4.049078699078699,41,20,0,1,0
