label,isCode,wordsLen,ZeroLen,OneLen,WordsWithSameSizeLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart
"['0010010', '01110']",1,2,7,5,0,12,0.6666666666666666,3,5
"['100', '001010']",1,2,6,3,0,9,0.6666666666666666,3,3
['0101101'],1,1,3,4,0,7,0,0,0
"['110000', '1100', '1001100', '1110100']",1,4,13,11,2,24,4.067732267732268,16,27
"['0', '011', '1111']",1,3,2,6,0,8,1.0714285714285714,8,6
"['11011', '010000', '001111', '0110', '1000', '010110', '10', '01001', '1100']",1,9,22,20,8,42,21.473665223665222,101,101
"['0', '00101', '011']",1,3,5,4,0,9,1.5833333333333333,8,6
"['00111', '1111011']",1,2,3,9,0,12,0.5,4,5
"['010', '110']",1,2,3,3,2,6,0.6666666666666666,1,3
"['11000', '0100000', '010', '110']",1,4,12,6,2,18,3.583333333333333,18,21
"['1000110', '110', '000']",1,3,8,5,2,13,1.5333333333333332,10,8
"['01', '11']",1,2,1,3,2,4,0.5,1,2
"['0100001', '01', '111110', '11']",1,4,7,10,2,17,2.4465811965811968,25,16
"['100001', '00000', '11', '1100100', '0000101']",1,5,18,9,2,27,5.726051726051726,34,30
"['1', '10111', '0110', '1010111', '00110']",1,5,8,14,2,22,5.517676767676767,31,25
"['001', '10111', '0110000', '10', '01011']",1,5,11,11,2,22,5.1873015873015875,34,22
"['0', '010110', '11']",1,3,4,5,0,9,0.7857142857142857,11,4
"['1000001', '000011', '1010011']",1,3,12,8,2,20,2.10989010989011,6,12
"['1000000', '01001', '10', '011']",1,4,11,6,0,17,2.865873015873016,22,14
"['1', '000', '0010011']",1,3,7,4,0,11,0.85,13,6
"['00101', '1111']",1,2,3,6,0,9,0.4444444444444444,3,2
"['0110010', '00101']",1,2,7,5,0,12,0.6666666666666666,3,2
"['00110', '0001', '11101', '01011']",1,4,9,10,3,19,3.5555555555555554,15,13
"['101', '01110']",1,2,3,5,0,8,0.5,3,0
"['101', '011']",1,2,2,4,2,6,0.6666666666666666,2,2
"['1110001', '01', '00', '001011']",1,4,9,8,2,17,2.8504273504273505,23,14
"['00111', '1', '10']",1,3,3,5,0,8,1.2857142857142856,9,6
"['01', '001', '110']",1,3,4,4,2,8,1.5333333333333334,6,7
"['0', '10111', '0011', '1000', '10010', '1001100']",1,6,14,12,4,26,8.437878787878788,44,42
"['01', '010', '00000', '011011', '1111110']",1,5,11,12,0,23,4.366444666444666,39,27
"['0101', '1011011', '0000']",1,3,8,7,2,15,1.4090909090909092,10,4
"['00110', '111']",1,2,3,5,0,8,0.5,3,0
"['1', '0001101', '00', '1011100', '010011']",1,5,12,11,2,23,4.13064713064713,43,23
"['0111001', '11']",1,2,3,6,0,9,0.4444444444444444,5,2
"['11101', '100', '00101', '01000']",1,4,10,8,3,18,3.35,16,15
"['1000', '111000']",1,2,6,4,0,10,0.8,2,5
"['110011', '101', '01001', '1001']",1,4,8,10,0,18,4.68997113997114,11,24
"['111', '10101', '111011', '1010', '1001100', '0100011', '01011', '1101010']",1,8,18,26,5,44,18.488672438672438,79,97
"['0', '001001', '00101', '111']",1,4,8,7,0,15,2.4725829725829724,20,14
"['0', '101', '01000']",1,3,6,3,0,9,1.3333333333333333,9,4
"['01', '1010', '0110100']",1,3,7,6,0,13,1.8383838383838382,10,7
"['101011', '10000']",1,2,6,5,0,11,0.5454545454545454,3,3
"['110', '111', '01000']",1,3,5,6,2,11,1.4166666666666665,8,6
"['10', '0111']",1,2,2,4,0,6,0.3333333333333333,3,2
"['10101', '10', '000']",1,3,6,4,0,10,1.4714285714285715,8,5
"['0011', '000100']",1,2,7,3,0,10,0.6,3,4
"['011101', '101100', '11100']",1,3,7,10,2,17,2.3030303030303028,6,9
"['0', '111110']",1,2,2,5,0,7,0.2857142857142857,5,2
"['110000', '010000', '1011111', '0001111']",1,4,13,13,4,26,3.086080586080586,24,23
"['11110', '00000', '101', '1010100', '100010', '1000000', '110111', '0111', '01011']",1,9,25,23,7,48,18.048096348096347,114,105
"['111', '0100']",1,2,3,4,0,7,0.2857142857142857,3,0
"['1', '0110100', '0111']",1,3,5,7,0,12,1.3772727272727274,12,6
"['0100001', '1', '10']",1,3,6,4,0,10,1.3611111111111112,12,6
"['0110101', '1000100', '011', '11', '000101', '001110', '0000']",1,7,20,15,4,35,12.141835941835941,70,58
"['00011', '0100010', '110011', '00', '110111', '110']",1,6,14,15,2,29,8.248856698856699,49,47
"['11001', '110', '0111', '1000011']",1,4,8,11,0,19,3.60021645021645,19,21
"['1001000', '100010', '0000', '0000110', '0100']",1,5,21,7,4,28,6.373526473526473,27,45
"['0010', '0000110', '1']",1,3,8,4,0,12,1.3772727272727274,12,6
"['0101', '10', '0111']",1,3,4,6,2,10,1.75,6,7
"['000101', '000']",1,2,7,2,0,9,0.6666666666666666,3,6
"['0', '01', '000111', '0000011']",1,4,10,6,0,16,2.916056166056166,23,15
"['00', '111010']",1,2,4,4,0,8,0.5,4,2
"['11000', '11110', '10']",1,3,5,7,2,12,1.7428571428571429,8,8
"['0', '0101111']",1,2,3,5,0,8,0.25,6,2
"['11', '110101', '111001']",1,3,4,10,2,14,1.8333333333333335,10,18
"['00111', '0101111', '001', '111']",1,4,6,12,2,18,3.6666666666666665,16,24
"['1100010', '10110']",1,2,6,6,0,12,0.5,3,3
"['0110101', '010000', '101010', '1100000', '000']",1,5,19,10,4,29,6.386813186813187,32,34
"['101100', '01', '001', '111', '100010']",1,5,10,10,4,20,5.033333333333333,30,23
"['0', '0010', '001001']",1,3,8,3,0,11,1.4857142857142858,10,11
"['0101', '01111', '10', '0100']",1,4,7,8,2,15,3.4801587301587302,14,16
"['1001000', '1', '011110']",1,3,7,7,0,14,0.8434065934065934,15,4
"['1001101', '0001100', '1000011', '001100', '0111110']",1,5,18,16,4,34,6.637362637362638,32,26
"['0', '111', '01100']",1,3,4,5,0,9,0.8333333333333333,10,4
"['0111010', '110', '111100', '011100', '00100', '101', '0011110', '011101', '1100']",1,9,21,26,7,47,24.255255855255854,96,124
"['1', '0110100', '000101', '1100100', '110011', '10']",1,6,15,14,4,29,7.612332112332112,58,38
"['100101', '0100']",1,2,6,4,0,10,0.6,3,0
"['0', '110010', '0011100', '111011']",1,4,9,11,2,20,2.718864468864469,26,12
"['0', '11110', '100', '1010', '0101100']",1,5,10,10,0,20,5.278860028860029,31,26
['10011'],1,1,2,3,0,5,0,0,0
"['110010', '101101']",1,2,5,7,2,12,0.6666666666666666,3,2
"['010', '0110100', '000']",1,3,9,4,2,13,1.6666666666666665,9,15
"['1101', '1100', '110']",1,3,4,7,2,11,2.4642857142857144,3,12
"['00001', '0101101', '1101000', '0001100', '00010', '101111']",1,6,21,16,5,37,8.41005661005661,47,46
"['1110001', '10']",1,2,4,5,0,9,0.4444444444444444,5,2
"['0101110', '1101011', '00001']",1,3,9,10,2,19,1.380952380952381,11,4
"['1001110', '010001', '101', '1111', '10', '000']",1,6,12,13,2,25,7.254489954489954,48,33
"['011111', '111', '000', '0100']",1,4,7,9,2,16,2.146031746031746,19,17
"['00111', '010', '010110', '000']",1,4,10,7,2,17,3.727272727272727,15,23
"['1010110', '0100011', '011001']",1,3,10,10,2,20,2.098901098901099,9,7
"['01', '001111']",1,2,3,5,0,8,0.5,4,2
"['11010', '1110010', '011100', '1111010', '1111111']",1,5,10,22,3,32,7.036796536796537,26,42
"['00', '101110', '00001']",1,3,8,5,0,13,1.435064935064935,11,8
"['010', '10101', '1111000', '100101', '000', '011110']",1,6,15,15,4,30,8.851787101787101,48,36
"['01', '1001', '1']",1,3,3,4,0,7,1.7333333333333334,6,9
"['0011', '01110']",1,2,4,5,0,9,0.6666666666666666,2,2
"['1010', '0100']",1,2,5,3,2,8,0.75,2,2
"['0011', '1', '0000']",1,3,6,3,2,9,0.9,9,6
"['11', '101', '1110101', '10010', '0001011', '110']",1,6,11,16,4,27,9.081746031746032,48,49
"['10', '1110']",1,2,2,4,0,6,0.6666666666666666,2,3
"['0011', '000100', '01111', '10']",1,4,9,8,0,17,2.7493506493506494,20,15
"['11001', '0011', '0101', '1011000']",1,4,10,10,2,20,3.840909090909091,18,15
"['111010', '100010', '0010011', '11101', '011110', '111000', '110']",1,7,17,22,4,39,12.67020202020202,62,66
"['1100', '011']",1,2,3,4,0,7,0.5714285714285714,3,3
"['1111001', '001101']",1,2,5,8,0,13,0.6153846153846154,3,3
"['0011011', '0010', '0001110']",1,3,10,8,2,18,2.168831168831169,9,13
"['0', '0010', '1101', '0101', '01100']",1,5,10,8,3,18,5.311111111111111,25,24
"['00', '1110']",1,2,3,3,0,6,0.3333333333333333,3,2
['100001'],1,1,4,2,0,6,0,0,0
"['0011', '1001000', '0110', '001010', '01100']",1,5,16,10,2,26,6.4475135975135975,25,37
"['01', '100']",1,2,3,2,0,5,0.4,2,2
"['0110100', '11000', '0110', '1111', '0101010', '000000', '01001', '000100', '01000']",1,9,31,18,9,49,21.50927960927961,98,140
"['01101', '1101011', '11111', '1011', '1010010', '1001011']",1,6,12,23,5,35,9.345310245310245,41,66
"['0', '101000', '10111', '0010']",1,4,9,7,0,16,2.6089466089466087,21,13
"['0', '0011', '0010111']",1,3,6,6,0,12,1.3772727272727274,12,9
"['1010110', '10111', '0011', '1111010', '0111']",1,5,9,18,4,27,6.225468975468975,27,33
"['11001', '00010', '0000011', '101111']",1,4,12,11,2,23,3.1372960372960375,21,15
"['00010', '0100110', '000', '1']",1,4,11,5,0,16,2.7666666666666666,21,17
"['011111', '000110', '0']",1,3,6,7,2,13,1.0714285714285714,13,8
"['01', '0010']",1,2,4,2,0,6,0.6666666666666666,2,2
"['1011101', '1000']",1,2,5,6,0,11,0.5454545454545454,4,3
"['011101', '100', '1']",1,3,4,6,0,10,1.2301587301587302,11,6
"['00111', '1010', '00', '1110']",1,4,7,8,2,15,3.1825396825396823,15,17
"['1100011', '0110100']",1,2,7,7,2,14,0.7142857142857143,4,0
"['0001101', '00', '100111', '1111110']",1,4,9,13,2,22,2.826007326007326,25,14
"['001', '0101', '1']",1,3,4,4,0,8,1.4714285714285715,6,7
"['0', '100100', '1111', '100111', '110111']",1,5,8,15,3,23,4.457142857142857,33,37
"['0101101', '11101', '1']",1,3,4,9,0,13,1.4166666666666667,12,11
"['011010', '1100', '110']",1,3,6,7,0,13,2.3238095238095235,6,9
['010100'],1,1,4,2,0,6,0,0,0
"['1000', '100001', '10', '1']",1,4,8,5,0,13,3.319047619047619,17,19
"['01', '0111010', '0010', '10001', '110']",1,5,11,10,0,21,5.4812409812409815,31,24
"['11000', '001010', '1001111']",1,3,9,9,0,18,1.6608391608391608,11,6
"['01', '100', '1']",1,3,3,3,0,6,1.5666666666666667,5,6
"['0100010', '101', '010000', '0010100']",1,4,16,7,2,23,3.554334554334554,18,18
"['110010', '1100', '1101']",1,3,6,8,2,14,2.35,5,13
"['000', '1001101']",1,2,6,4,0,10,0.6,4,0
"['1000000', '01', '001', '10']",1,4,10,4,2,14,2.7666666666666666,21,15
"['1010010', '1']",1,2,4,4,0,8,0.25,6,2
"['0011', '100']",1,2,4,3,0,7,0.5714285714285714,3,3
"['011111', '101100']",1,2,4,8,2,12,0.5,4,2
"['01', '0011000', '0001', '0010101', '1011', '01000']",1,6,18,11,4,29,8.982683982683982,46,46
"['000111', '10011', '0110110']",1,3,8,10,0,18,1.8426573426573427,8,5
"['101', '001111']",1,2,3,6,0,9,0.4444444444444444,4,2
"['0101000', '11', '00000', '001000', '1110']",1,5,16,8,0,24,4.315501165501166,33,37
"['0100010', '1', '1101110']",1,3,7,8,2,15,1.0714285714285714,15,5
"['0', '0111']",1,2,2,3,0,5,0.4,3,2
"['0110', '000010']",1,2,7,3,0,10,0.6,3,5
['111111'],1,1,0,6,0,6,0,0,0
"['001111', '101010', '1010111', '100111', '0000110']",1,5,14,18,5,32,6.571428571428571,25,33
"['0010', '001', '11']",1,3,5,4,0,9,1.5904761904761904,6,6
"['1001110', '1', '1001', '0110', '01010']",1,5,10,11,2,21,5.56010101010101,32,24
"['0', '01000']",1,2,5,1,0,6,0.3333333333333333,4,4
"['1110101', '0001', '110001', '0100111']",1,4,11,13,2,24,3.704095904095904,17,23
"['1000010', '11010', '10']",1,3,8,6,0,14,1.6825396825396823,11,11
"['01', '10']",1,2,2,2,2,4,0.5,2,2
"['101', '0010']",1,2,4,3,0,7,0.5714285714285714,2,0
['1100000'],1,1,5,2,0,7,0,0,0
"['0100111', '10101', '0001100', '0001011', '01011']",1,5,16,15,5,31,7.109523809523809,27,30
"['1010', '01', '0101110', '0100']",1,4,9,8,2,17,3.9823232323232323,17,19
"['010100', '001', '1001', '11001']",1,4,10,8,0,18,4.267748917748918,13,18
['1010110'],1,1,3,4,0,7,0,0,0
"['0', '000001']",1,2,6,1,0,7,0.2857142857142857,5,2
"['11011', '010010', '100101', '11111', '1100111']",1,5,10,19,4,29,6.5331002331002335,24,39
"['0', '1010', '00111']",1,3,5,5,0,10,1.1777777777777778,10,6
"['0011', '001', '0101110']",1,3,7,7,0,14,1.9844155844155844,8,8
"['1001110', '001', '10100', '000111', '110', '1001011', '0100']",1,7,18,17,4,35,11.926340326340327,64,58
"['11010', '1001000', '1000010', '100110', '00', '0111', '1101']",1,7,19,16,4,35,11.832256632256632,67,58
"['01', '111', '110100', '0000101', '1101']",1,5,10,12,0,22,5.741913641913642,32,34
"['0110001', '1101110']",1,2,6,8,2,14,0.5714285714285714,4,2
"['001', '1111101', '011', '1001101', '10010', '001010', '11100', '01100']",1,8,19,22,7,41,16.566267066267066,84,77
"['110000', '111', '0011001', '10', '1101', '0110001', '0100']",1,7,17,16,4,33,12.76037296037296,64,54
"['011011', '1101101', '0110']",1,3,6,11,0,17,2.2965034965034965,8,8
"['0', '01', '011101']",1,3,4,5,0,9,1.4523809523809523,10,8
"['1100010', '10110', '11']",1,3,6,8,0,14,1.5158730158730158,11,9
"['1101111', '111010', '000']",1,3,6,10,0,16,1.2598290598290598,13,7
"['0010', '10', '01100']",1,3,7,4,0,11,1.6825396825396823,7,10
"['1', '00100', '101', '110011', '100101']",1,5,10,11,2,21,5.344155844155844,33,27
"['1010001', '010', '111000', '0111']",1,4,10,10,0,20,3.5305583305583306,20,13
['011100'],1,1,3,3,0,6,0,0,0
"['0001', '0111', '00001']",1,3,8,5,2,13,1.8333333333333333,6,11
"['0', '10011', '0110001']",1,3,7,6,0,13,1.25,13,4
"['11000', '11100', '1']",1,3,5,6,2,11,1.4666666666666668,9,8
"['0110101', '0010001', '001', '001111', '100001', '10110', '0001111', '0000', '0100001', '0101']",1,10,32,24,8,56,27.42040182040182,140,145
"['010111', '00001']",1,2,6,5,0,11,0.36363636363636365,3,2
"['1000001', '11001', '111', '0100']",1,4,10,9,0,19,3.3145021645021644,19,16
"['11', '100', '011110', '0100']",1,4,7,8,0,15,3.134920634920635,17,13
"['111100', '101', '1000110', '1010111', '000', '1100']",1,6,14,16,4,30,8.247197247197247,51,43
"['0', '11110', '1101']",1,3,3,7,0,10,1.4,9,5
"['00101', '101000', '100010', '111011', '010101']",1,5,15,14,4,29,6.045454545454545,27,25
"['0110110', '00111', '110011', '1010111', '000010', '1101', '01100', '1110']",1,8,19,25,8,44,16.923182373182375,82,79
"['0001100', '1100', '011', '11111']",1,4,8,11,0,19,3.1764790764790765,21,19
"['0', '0110']",1,2,3,2,0,5,0.4,3,4
"['0', '10001', '0110010']",1,3,8,5,0,13,1.25,13,4
['010011'],1,1,3,3,0,6,0,0,0
"['011011', '00', '001', '111']",1,4,6,8,2,14,2.7444444444444445,16,14
['100010'],1,1,4,2,0,6,0,0,0
"['101010', '100', '11111']",1,3,5,9,0,14,1.462121212121212,10,7
"['11001', '011', '1110']",1,3,4,8,0,12,1.7380952380952381,7,9
['0011100'],1,1,4,3,0,7,0,0,0
"['1001010', '101111']",1,2,5,8,0,13,0.46153846153846156,3,3
"['11011', '0110001']",1,2,5,7,0,12,0.6666666666666666,3,2
"['0', '01001', '010011', '0101', '110101']",1,5,11,11,2,22,6.096681096681096,28,32
"['1', '1000101', '00011', '10', '1010010']",1,5,12,10,2,22,5.031746031746032,38,26
"['11110', '0100110', '1000000', '00', '001100']",1,5,17,10,2,27,5.022255522255522,39,36
"['1110010', '00101', '101', '00010', '01100']",1,5,14,11,3,25,5.95,29,26
"['1001', '000011']",1,2,6,4,0,10,0.6,3,2
"['0100000', '001011']",1,2,9,4,0,13,0.46153846153846156,4,3
"['0010110', '100', '100011']",1,3,9,7,0,16,1.682051282051282,10,7
"['0000110', '00101']",1,2,8,4,0,12,0.6666666666666666,3,3
"['110000', '00', '1111101', '0001000']",1,4,13,9,2,22,2.529304029304029,27,21
"['001', '010', '0001', '110001', '001011']",1,5,13,9,4,22,6.43968253968254,26,30
"['0001', '000010']",1,2,8,2,0,10,0.8,2,4
"['0111', '011000', '000', '1111']",1,4,8,9,2,17,2.7023809523809526,18,20
"['0', '1010111', '110']",1,3,4,7,0,11,1.15,12,5
"['1111010', '1', '1100100']",1,3,6,9,2,15,1.2142857142857144,15,7
"['01', '100', '10', '01110']",1,4,6,6,2,12,3.342857142857143,14,15
"['0010', '000', '11']",1,3,6,3,0,9,1.1904761904761905,7,6
"['011001', '000011', '0000']",1,3,11,5,2,16,1.7000000000000002,8,12
['1100011'],1,1,3,4,0,7,0,0,0
['110101'],1,1,2,4,0,6,0,0,0
"['001', '0000']",1,2,6,1,0,7,0.5714285714285714,2,4
"['0001', '110100', '001000']",1,3,11,5,2,16,1.6666666666666665,10,12
"['101001', '1001001', '1100', '000']",1,4,12,8,0,20,3.8844044844044845,15,17
"['01', '0100000', '010011', '111101']",1,4,11,10,2,21,2.700854700854701,25,17
"['0011', '1101100']",1,2,5,6,0,11,0.5454545454545454,4,4
"['0', '0010', '10101', '11101', '1011']",1,5,8,11,4,19,5.233333333333333,25,21
"['1', '00001', '1011110', '101000', '01010', '000010', '01100']",1,7,21,14,5,35,10.329353979353979,70,60
"['00', '1010101', '000001']",1,3,10,5,0,15,1.2521367521367521,12,7
"['1001011', '00', '10110', '1']",1,4,7,8,0,15,2.265873015873016,23,11
"['011', '0010000']",1,2,7,3,0,10,0.4,5,2
"['10111', '101101']",1,2,3,8,0,11,0.9090909090909091,1,7
"['0', '110100', '1111']",1,3,4,7,0,11,0.8857142857142857,12,6
"['0', '00101']",1,2,4,2,0,6,0.3333333333333333,4,2
"['0100111', '101', '0110', '0000000', '0101']",1,5,15,10,4,25,5.064285714285714,37,24
"['0', '001']",1,2,3,1,0,4,0.5,2,2
"['0001', '01101', '10000']",1,3,9,5,2,14,1.511111111111111,8,9
"['101010', '0100']",1,2,6,4,0,10,0.8,2,2
"['001', '1110000', '1011110', '000101', '1011']",1,5,13,14,2,27,5.377355977355977,39,29
"['10000', '110', '0110100']",1,3,9,6,0,15,1.6,10,7
"['1111', '0010', '00001']",1,3,7,6,2,13,1.1388888888888888,9,5
['000011'],1,1,4,2,0,6,0,0,0
"['10101', '011', '11']",1,3,3,7,0,10,2.1214285714285714,6,10
"['11110', '01101', '01011', '0100']",1,4,8,11,3,19,3.3777777777777778,15,17
"['01', '0100111', '11000', '1100101', '001100']",1,5,14,13,2,27,5.680264180264181,37,27
"['0010', '1001', '011']",1,3,6,5,2,11,1.8928571428571428,6,4
"['100110', '010']",1,2,5,4,0,9,0.4444444444444444,3,3
"['0011', '010', '10011', '11']",1,4,6,8,0,14,3.598412698412698,13,17
"['11101', '0111', '11']",1,3,2,9,0,11,1.9047619047619047,7,14
"['0', '01', '110']",1,3,3,3,0,6,1.5666666666666667,5,6
"['011101', '01']",1,2,3,5,0,8,0.5,4,4
"['11001', '0', '11101', '0111', '0011011', '01001', '0101']",1,7,13,18,5,31,12.51010101010101,56,60
"['11000', '10111', '1100', '10']",1,4,7,9,2,16,3.5428571428571427,16,19
"['1011', '011']",1,2,2,5,0,7,0.8571428571428571,1,4
"['1111010', '01100']",1,2,5,7,0,12,0.6666666666666666,3,2
"['0110000', '111']",1,2,5,5,0,10,0.4,5,0
"['1001', '0111110']",1,2,4,7,0,11,0.36363636363636365,5,0
"['110110', '1', '1011110', '00', '111110']",1,5,7,15,2,22,4.208180708180708,36,27
"['01101', '100011', '10', '11111', '0011011', '1110']",1,6,10,19,2,29,8.37151737151737,47,46
"['001001', '11100']",1,2,6,5,0,11,0.5454545454545454,3,3
"['1110101', '001011']",1,2,5,8,0,13,0.6153846153846154,3,3
"['0000111', '10001', '000', '011001']",1,4,13,8,0,21,3.8037684537684537,18,16
"['001100', '10', '01000']",1,3,9,4,0,13,1.7987012987012987,9,10
"['01001', '101101']",1,2,5,6,0,11,0.7272727272727273,2,3
"['11010', '0001110', '0001111', '1000', '000010', '0000']",1,6,21,12,4,33,9.411960261960262,45,74
"['100', '10110']",1,2,4,4,0,8,0.75,2,3
"['00', '0101011', '1', '1101110']",1,4,7,10,2,17,2.1031746031746033,27,11
"['0100000', '010', '1', '10001', '10110']",1,5,13,8,2,21,5.033333333333333,35,20
"['0', '01101', '101', '10001', '1111001']",1,5,9,12,2,21,5.25,33,29
"['01', '11', '101', '10000', '00']",1,5,8,6,3,14,4.642857142857143,22,22
"['0', '01110']",1,2,3,3,0,6,0.3333333333333333,4,4
"['0101', '1111000']",1,2,5,6,0,11,0.36363636363636365,5,2
"['0', '0111000']",1,2,5,3,0,8,0.25,6,4
"['0011101', '10111', '100', '1000000', '100011', '1011', '01100']",1,7,19,18,4,37,12.451476301476301,70,69
"['011011', '1010110', '100', '10']",1,4,8,10,0,18,3.404273504273504,21,16
"['10101', '111001']",1,2,4,7,0,11,0.7272727272727273,2,5
"['11001', '011', '100', '001010', '011000']",1,5,13,10,4,23,6.0227272727272725,28,24
"['00001', '01111', '1111', '010111', '001010', '110101']",1,6,13,19,5,32,8.402020202020202,39,47
"['0001', '00', '1']",1,3,5,2,0,7,1.0666666666666667,7,6
"['0001001', '0011101', '1', '010010', '00010', '000111', '111101']",1,7,20,18,5,38,11.404761904761905,73,62
"['0', '110']",1,2,2,2,0,4,0.5,2,2
"['00', '001001', '100111']",1,3,8,6,2,14,1.6666666666666665,11,6
"['100', '001', '011001']",1,3,7,5,2,12,2.0,8,9
"['0', '101100', '1101011', '10100', '1000011']",1,5,13,13,2,26,5.13986013986014,38,27
"['11000', '0001', '1000111', '10', '110']",1,5,11,10,0,21,5.645526695526695,32,28
"['001', '1', '010000', '0000001', '000100']",1,5,18,5,2,23,4.92997557997558,35,33
"['01101', '0101000', '0110100', '1011', '110']",1,5,13,13,2,26,6.436147186147186,30,26
"['0101010', '10']",1,2,5,4,0,9,0.4444444444444444,5,3
"['00111', '10110', '011', '111101']",1,4,6,13,2,19,3.635353535353535,15,16
"['1000001', '001', '00', '1011100', '1110']",1,5,13,10,2,23,4.827417027417027,38,26
"['00110', '10101', '00', '1']",1,4,7,6,2,13,2.4095238095238094,19,10
"['011', '000011', '101', '100', '0000']",1,5,12,7,3,19,5.1650793650793645,27,30
"['1110', '0011', '100', '0000001', '0000101', '1011', '01100', '0100']",1,8,23,15,6,38,15.277633477633477,87,81
"['0000', '001100', '11111']",1,3,8,7,0,15,1.1636363636363636,11,8
"['1001', '1', '000101']",1,3,6,5,0,11,1.2857142857142856,11,9
"['00011', '11100', '1111']",1,3,5,9,2,14,1.511111111111111,10,14
"['0110', '00000']",1,2,7,2,0,9,0.4444444444444444,3,4
"['001', '111', '0011', '10', '01011', '0100']",1,6,10,11,4,21,8.046031746031746,32,40
"['0', '1100']",1,2,3,2,0,5,0.4,3,2
"['0', '11011', '1111', '00011']",1,4,5,10,2,15,2.5999999999999996,18,19
"['01', '01101', '0011000', '00110', '1000011', '001001']",1,6,19,13,4,32,9.40900210900211,49,42
"['1011', '01', '01111']",1,3,3,8,0,11,1.9047619047619047,7,8
"['11101', '000000', '00001']",1,3,11,5,2,16,1.309090909090909,10,11
"['1101001', '101', '1010', '11']",1,4,6,10,0,16,4.095526695526695,16,23
"['00100', '11010', '011100']",1,3,9,7,2,16,2.0545454545454547,8,11
"['1101110', '011100', '11111']",1,3,5,13,0,18,1.8146853146853146,8,6
"['1100011', '1000000', '10011', '0100']",1,4,14,9,2,23,3.662337662337662,20,17
"['001100', '01100', '1111']",1,3,7,8,0,15,1.7535353535353535,8,9
"['1001100', '1011', '000001']",1,3,10,7,0,17,1.5888111888111889,11,8
"['0010', '11011', '10001', '1111', '1000', '1010000', '001100']",1,7,19,16,5,35,11.937101787101787,63,58
"['101110', '01', '0110', '1001111']",1,4,7,12,0,19,3.7257964257964256,19,14
"['0001011', '1011010', '101']",1,3,8,9,2,17,1.7714285714285714,11,8
"['10101', '1010101', '100', '000010']",1,4,12,9,0,21,3.634770784770785,18,21
"['0', '0101', '1101010']",1,3,6,6,0,12,1.3772727272727274,12,6
"['100000', '11100', '101001']",1,3,10,7,2,17,1.7727272727272727,7,8
"['1001', '1100000', '0001111', '100111', '10', '000']",1,6,16,13,2,29,7.9994560994561,55,47
"['00', '1001', '0011111']",1,3,6,7,0,13,1.6565656565656566,12,6
"['110000', '0100000', '0011', '10100', '0111']",1,5,16,10,2,26,5.329331779331779,33,32
"['011011', '10101', '1101101', '00111']",1,4,8,15,2,23,4.323776223776224,15,19
"['1000001', '010', '01101', '11', '100110', '000000', '011000']",1,7,22,13,3,35,11.328499278499278,72,51
"['11', '1101101', '00', '10', '1001100', '01000']",1,6,13,12,5,25,6.976190476190476,53,34
"['11', '0101', '011', '011010']",1,4,6,9,0,15,4.09047619047619,13,16
"['010100', '0011011', '01001', '00010', '0111110']",1,5,16,14,4,30,5.984448884448884,30,34
"['1011010', '010', '11011', '00100', '0001', '1000010', '111110', '0111111', '000001', '000000']",1,10,31,25,8,56,22.58065823065823,158,134
"['00', '011', '0111']",1,3,4,5,0,9,1.5904761904761904,6,9
"['1011010', '011', '01111', '000001', '10011', '0101', '01011']",1,7,16,19,3,35,12.899683649683649,56,62
"['1000100', '0010', '111', '1110', '0011', '100110', '1010', '101111', '111001']",1,9,19,25,7,44,22.173282273282272,99,116
"['1', '101', '1111001', '0000', '01000']",1,5,11,9,0,20,3.9993506493506494,36,21
"['001', '100', '10100', '000', '0110011']",1,5,13,8,3,21,6.016666666666667,27,31
"['010100', '01111', '1111000', '0101100', '1010011', '0011011']",1,6,18,21,4,39,9.682817182817184,46,49
"['101100', '01', '0010100', '0001111', '000', '0001011', '1010000', '01001', '1111111']",1,9,27,24,5,51,18.75193695193695,138,120
"['010100', '0011', '1001101', '1000', '00', '01010', '0001011']",1,7,21,14,4,35,13.241736041736042,64,65
"['111', '0011001', '0001', '00', '01010', '0101']",1,6,14,11,2,25,8.079076479076479,41,40
"['100', '0100101']",1,2,6,4,0,10,0.6,4,2
"['10', '111010', '1111']",1,3,3,9,0,12,1.6333333333333333,9,11
"['1100', '011', '010110', '1011000']",1,4,10,10,0,20,3.9345987345987345,19,15
"['01', '001', '11111']",1,3,3,7,0,10,1.3357142857142859,9,7
"['01101', '001', '1', '1100000', '011101', '111101']",1,6,12,16,2,28,7.336424686424686,54,49
"['1', '101101']",1,2,2,5,0,7,0.2857142857142857,5,4
"['0', '10010']",1,2,4,2,0,6,0.3333333333333333,4,2
"['101', '1010', '000', '01000']",1,4,10,5,2,15,3.6785714285714284,12,16
"['0011', '1110110', '100000', '00110']",1,4,12,10,0,22,3.326184926184926,19,21
"['0', '1110001', '010011']",1,3,7,7,0,14,1.151098901098901,14,5
"['011011', '100', '10100', '00', '0000011', '0101']",1,6,16,11,0,27,8.500860250860251,47,44
"['110000', '001', '0000101', '10100', '0111111', '10010', '001100']",1,7,22,17,6,39,11.816955266955267,73,63
['101000'],1,1,4,2,0,6,0,0,0
"['0001110', '0110001']",1,2,8,6,2,14,0.5714285714285714,5,2
